충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
남부여성발전센터주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,N,,1,0,Y,서울특별시 금천구 시흥동 산 139-2,서울특별시 금천구 독산로50길 23 (시흥동),서울특별시시설관리공단,02-2290-6449,37.463112,126.905924,2018-01-12
마포유수지주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,6,1,Y,서울특별시 마포구 마포대로1길 9  (마포동),서울특별시 마포구 마포동 36-1,서울특별시시설관리공단,02-2290-6449,37.53879,126.942649,2018-01-12
복정역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,2,1,Y,서울특별시 송파구 송파대로 지하 6 (장지동),서울특별시 송파구 장지동 569-21,서울특별시시설관리공단,02-2290-6449,37.471045,127.126758,2018-01-12
세종로주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,2,1,Y,서울특별시 종로구 세종로 80-1(지하),서울특별시 종로구 세종대로 지하 189 (세종로),서울특별시시설관리공단,02-2290-6449,37.573386,126.975832,2018-01-12
수락산역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,N,,4,0,Y,,서울특별시 노원구 상계동 1268,서울특별시시설관리공단,02-2290-6449,37.678995,127.055882,2018-01-12
수서역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,4,1,Y,서울특별시 강남구 광평로 지하270 (수서동),서울특별시 강남구 수서동 735,서울특별시시설관리공단,02-2290-6449,37.487944,127.099935,2018-01-12
영등포구청역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,N,,4,0,Y,서울특별시 영등포구 양산로19길 8 (당산동3가),서울특별시 영등포구 당산동3가 370,서울특별시시설관리공단,02-2290-6449,37.524876,126.895153,2018-01-12
충청북도 제천시 한국전력제천지사,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 풍양로 57(의림동),충청북도 제천시 의림동 117 한국전력제천지점,,,37.1394098,128.2066382,2018-02-19
충청북도 제천시 청풍면사무소,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 청풍면 청풍호로 2115,충청북도 제천시 청풍면 물태리 133 청풍면사무소,,,37.0006158,128.1683983,2018-02-19
충청북도 제천시 관광정보센터,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 청풍면 청풍호로50길 6,충청북도 제천시 청풍면 교리 147,,,37.0122312,128.179197,2018-02-19
충청북도 제천시 수산면사무소,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 수산면 월악로26길 39 수산면사무소,충청북도 제천시 수산면 수산리 601-7,,,36.9337726,128.1809731,2018-02-19
충청북도 제천시 수산복지회관,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 수산면 지곡로 1,충청북도 제천시 수산면 수산리 609-9,,,36.9346156,128.1852769,2018-02-19
충청북도 제천시 금성면사무소,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 금성면 청풍호로 1045 금성면사무소,충청북도 제천시 금성면 구룡리 66-11,,,37.0615805,128.1685374,2018-02-19
충청북도 제천시 덕산면사무소,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 덕산면 약초로 59,충청북도 제천시 덕산면 도전리 800-1,,043-641-4202,36.9120326,128.1642036,2018-02-19
충청북도 제천시 신백동주민센터,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 의병대로34길 50 신백동주민센터,충청북도 제천시 신백동 306-1,,,37.1284062,128.223332,2018-02-19
충청북도 제천시 봉양읍행정복지센터,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 봉양읍 주포로 83 봉양읍사무소,충청북도 제천시 봉양읍 주포리 164-2,,043-641-4023,37.1326644,128.1215465,2018-02-19
충청북도 제천시 한수면사무소,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 한수면 미륵송계로8길 26,충청북도 제천시 한수면 송계리 282 한수면사무소,,,36.8852295,128.0818645,2018-02-19
충청북도 제천시 백운면사무소,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 백운면 애련로 13,충청북도 제천시 백운면 평동리 209-2 백운면사무소,,043-641-4282,37.13777036,128.0258169,2018-02-19
충청북도 제천시 건설민원동 주차장,외부 주차장,충청북도,연중무휴,0:00,23:59,N,Y,AC3상+DC차 데모,,1,N,충청북도 제천시 내토로 295(천남동),충청북도 제천시 천남동 12-2 제천시청,,043-641-5723,37.1289824,128.1818148,2018-02-19
충청북도 제천시 송학면사무소,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 송학면 시곡포전로1길 14-2,충청북도 제천시 송학면 시곡리 1157 송학면사무소,,043-641-4323,37.1848198,128.2608759,2018-02-19
충청북도 제천시 영서동주민센터,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 동명로 11(서부동),충청북도 제천시 서부동 1155 영서동주민센터,,,37.1334433,128.2021689,2018-02-19
충청북도 제천시 용두동주민센터,외부 주차장,충청북도,연중무휴,0:00,23:59,Y,N,,1,,N,충청북도 제천시 용두대로17길 8,충청북도 제천시 하소동 323-24,,043-641-4512,37.1418516,128.2003919,2018-02-19
클에이아크미술관,외부 주차장,경상남도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상남도 김해시 진례면 진례로 275-51,경상남도 김해시 진례면 송정리 358,한국전력공사,1899-2100,35.150489,128.443998,2018-02-18
문화의 전당,외부 주차장,경상남도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상남도 김해시 김해대로 2060,경상남도 김해시 내동 1131,한국전력공사,1899-2100,35.143502,128.520824,2018-02-18
진영문화센터,외부 주차장,경상남도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상남도 김해시 진영읍 김해대로 440,경상남도 김해시 진영읍 여래리 530-2,한국자동차환경협회,1661-9408,35.181774,128.441474,2018-02-18
김해시 장유출장소,외부 주차장,경상남도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상남도 김해시 부곡로 57,경상남도 김해시 부곡동 490,한국자동차환경협회,1661-9408,35.123255,128.475423,2018-02-18
진영휴게소(부산방향),외부 주차장,경상남도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상남도 김해시 진영읍 하계로96번길 94-4,경상남도 김해시 진영읍 우동리 415,한국자동차환경협회,1661-9408,35.27791,128.715807,2018-02-18
진영휴게소(순천방향),외부 주차장,경상남도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상남도 김해시 진영읍 하계로96번길 44-47,경상남도 김해시 진영읍 우동리 289-1,한국자동차환경협회,1661-9408,35.279485,128.714734,2018-02-18
김해시청,차량등록사업소 외부 주차장,경상남도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상남도 김해시 김해대로 2401,경상남도 김해시 부원동 533-1,한국자동차환경협회,1661-9408,35.226508,128.890372,2018-02-18
김해시청,내부주차장,경상남도,연중무휴,12:00,12:00,Y,N,,2,,N,경상남도 김해시 김해대로 2401,경상남도 김해시 부원동 623,경상남도 김해시청,055-330-2453,35.228574,128.889322,2018-02-18
한전김해지사,외부 주차장,경상남도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상남도 김해시 김해대로 2399,경상남도 김해시 부원동 624-6,한국전력공사,1899-2100,35.133798,128.531943,2018-02-18
중소기업비즈니스센터,외부 주차장,경상남도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,경상남도 김해시 주촌면 골든루트로 80-16,경상남도 김해시 주촌면 농소리 638-3,한국전력공사,1899-2100,35.124821,128.495508,2018-02-18
달성군청,문화복지동 주차장,대구광역시,연중무휴,0:00,23:59,Y,Y,,1,1,N,대구광역시 달성군 논공읍 달성군청로 33,대구광역시 달성군 논공읍 금포리 1313,대구광역시 달성군청,,35.463152,128.255445,2018-01-31
달성군청,외부주차장,대구광역시,공휴일,0:00,23:59,Y,N,,1,,N,대구광역시 달성군 논공읍 달성군청로 33,대구광역시 달성군 논공읍 금포리 1313,대구광역시 달성군청,,35.463152,128.255445,2018-01-31
농수산물도매시장,4문좌측,대구광역시,-,0:00,0:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,대구광역시 북구 매천로18길 34,대구광역시 북구 매천동 527-3,대구환경공단,053-605-8060,35.90306,128.543067,2018-02-13
북구청,별관입구좌측,대구광역시,-,0:00,0:00,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,대구광역시 북구 옥산로 65,대구광역시 북구 침산동 447-16,대구환경공단,053-605-8060,35.885656,128.582945,2018-02-13
시청별관,입구50m 우측,대구광역시,-,0:00,0:00,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,대구광역시 북구 연암로 40,대구광역시 북구 산격동 1445-3,대구환경공단,053-605-8060,35.892611,128.600071,2018-02-13
패션센터공영주차장(종합유통단지),입구 우측,대구광역시,-,0:00,0:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,대구광역시 북구 유통단지로 14길 17,대구광역시 북구 산격동 1671,대구환경공단,053-605-8060,35.906312,128.611762,2018-02-13
올브랜공영주차장(종합유통단지),입구 우측,대구광역시,-,0:00,0:00,Y,N,DC차데모+AC3상+DC콤보,3,0,N,대구광역시 북구,대구광역시 북구 산격동 1640,대구환경공단,053-605-8060,35.90415,128.609289,2018-02-13
매천역환승공영주차장,입구 좌끝,대구광역시,-,0:00,0:00,Y,N,-,2,0,N,대구광역시 북구,대구광역시 북구 태전동 686-11,대구환경공단,053-605-8060,35.914064,128.542879,2018-02-13
엑스코,제1주차장 지하3층 14A,대구광역시,-,8:00,22:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,대구광역시 북구 엑스코로 10,대구광역시 북구 산격2동 1676,환경부,1661-9408,35.907273,128.613261,2018-02-13
삼매봉 도서관,주차장,제주특별자치도,연중무휴,0:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 남성중로153번길 15 (서홍동),,,,33.2446568,126.5517975,2017-04-29
안성맞춤휴게소(제천방향),"경기도 안성시 서운면 평택제천고속도로 41, 제2소형주차장 여성전용주차장 옆",경기도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,"경기도 안성시 서운면 평택제천고속도로 41, 제2소형주차장 여성전용주차장 옆",경기도 안성시 서운면 신능리 111-23,한국자동차환경협회,1661-9408,36.968061,127.275003,2018-01-31
안성시청,경기도 안성시 시청길 25,경기도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 안성시 시청길 25,경기도 안성시 봉산동 31-3,한국자동차환경협회,1661-9408,37.008365,127.278909,2018-01-31
안성맞춤휴게소(평택방향),"경기도 안성시 서운면 평택제천고속도로 41, 제2소형주차장 여성전용주차장 옆",경기도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,"경기도 안성시 서운면 평택제천고속도로 41, 제2소형주차장 여성전용주차장 옆",경기도 안성시 서운면 신능리 111-20,한국자동차환경협회,1661-9408,36.9700252,127.274084,2018-01-31
안성휴게소(부산방향),경기도 안성시 원곡면 경부고속도로 365,경기도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 안성시 원곡면 경부고속도로 365,경기도 안성시 원곡면 반제리 642-6,한국자동차환경협회,1661-9408,37.012895,127.144941,2018-01-31
안성휴게소(서울방향),경기도 안성시 원곡면 경부고속도로 372,경기도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 안성시 원곡면 경부고속도로 372,경기도 안성시 원곡면 산하리 421-4,한국자동차환경협회,1661-9408,37.077457,127.131745,2018-01-31
공도건강생활지원센터,경기도 안성시 공도읍 공도로 51-11,경기도,연중무휴,0:00,23:59,Y,Y,DC차데모+AC3상+DC콤보,1,1,N,경기도 안성시 공도읍 공도로 51-11,경기도 안성시 공도읍 용두리 264,한국전기차충전서비스,1522-1782,36.9996244,127.1660712,2018-01-31
공도읍사무소,안성시 공도읍 공도4로 8 ?도읍사무소 지하주차장,경기도,주말,9:00,18:00,Y,N,AC완속,1,0,N,경기도 안성시 공도읍 공도4로 8 공도읍사무소 지하주차장,경기도 안성시 만정리 693-1,에버온,1661-7766,37.0010464,127.1726362,2018-01-31
서운면사무소,경기도 안성시 서운면 서운중앙길 23 서운면사무소,경기도,연중무휴,0:00,23:59,Y,N,AC완속,1,0,N,경기도 안성시 서운면 서운중앙길 23 서운면사무소,경기도 안성시 서운면 인리 107-4,에버온,1661-7766,36.9430644,127.2594572,2018-01-31
윈체스트골프클럽(윈체스트GC),안성시 서운면 오촌길 97-31,경기도,연중무휴,0:00,23:59,Y,N,AC완속,2,0,N,경기도 안성시 서운면 오촌길 97-31,경기도 안성시 서운면 오촌리 173-4,케이티,1522-4700,36.9595152,127.281515,2018-01-31
보건소,동해시 보건소 구관 앞,강원도,연중무휴,0:00,23:59,Y,N,,1,0,N,강원도 동해시 천곡로 100-2,강원도 동해시 천곡동 840,강원도 동해시청,033-530-2401,37.5227764,129.1171111,2018-01-01
미양면사무소,안성시 미양면 양지길 29 미양면사무소,경기도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 안성시 미양면 양지길 29 미양면사무소,경기도 안성시 미양면 양지리 190,한국전기차충전서비스,1522-1782,36.9752703,127.2151042,2018-01-31
대덕면사무소,안성시 대덕면 중앙로 82 대덕면사무소,경기도,연중무휴,0:00,23:59,Y,N,AC완속,1,0,N,경기도 안성시 대덕면 중앙로 82 대덕면사무소,경기도 안성시 대덕면 건지리 425-1,에버온,1661-7766,37.0124067,127.2380032,2018-01-31
양성면사무소,안성시 양성면 읍내길 21 양성면사무소,경기도,연중무휴,0:00,23:59,Y,N,AC완속,1,0,N,경기도 안성시 양성면 읍내길 21 양성면사무소,경기도 안성시 양성면 동항리 324,에버온,1661-7766,37.0599261,127.1948798,2018-01-31
원곡면사무소,경기도 안성시 원곡면 가천중앙1길 46 원곡면사무소,경기도,연중무휴,0:00,23:59,Y,N,AC완속,1,0,N,경기도 안성시 원곡면 가천중앙1길 46 원곡면사무소,경기도 안성시 원곡면 외가천리 273-1,에버온,1661-7766,37.0397352,127.1295178,2018-01-31
일죽면사무소,안성시 일죽면 금일로433 일죽면사무소,경기도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 안성시 일죽면 금일로433 일죽면사무소,경기도 안성시 일죽면 송천리 253-1,시그넷이브이,070-4618-6057,37.0905965,127.4769381,2018-01-31
죽산면사무소,안성시 죽산면 죽산초교길 61 죽산면사무소,경기도,연중무휴,0:00,23:59,Y,N,AC완속,1,0,N,경기도 안성시 죽산면 죽산초교길 61 죽산면사무소,경기도 안성시 죽산면 죽산리 348,에버온,1661-7766,37.0783361,127.4224638,2018-01-31
골프존카운티안성Q,안성시 죽산면 장계길 20-229(장계리),경기도,연중무휴,0:00,23:59,Y,N,AC완속,2,0,N,경기도 안성시 죽산면 장계길 20-229(장계리),경기도 안성시 죽산면 장계리 711,케이티,1522-4700,37.0486238,127.3958758,2018-01-31
삼죽면사무소,안성시 삼죽면 삼죽로 112 삼죽면사무소,경기도,연중무휴,0:00,23:59,Y,N,AC완속,1,0,N,경기도 안성시 삼죽면 삼죽로 112 삼죽면사무소,경기도 안성시 삼죽면 용월리 산27-8,에버온,1661-7766,37.073155,127.374921,2018-01-31
복합교육문화센터,안성시 현수동 80,경기도,연중무휴,0:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 안성시 현수동 80,경기도 안성시 현수동 80,시그넷이브이,070-4618-6057,37.0012303,127.2802238,2018-01-31
현대차 안성지점,경기도 안성시 중앙로 351,경기도,연중무휴,9:00,18:00,Y,N,AC완속,1,0,N,경기도 안성시 중앙로 351,경기도 안성시 석정동 21-1,현대자동차,031-672-9944,37.008424,127.2659341,2018-01-31
이마트(안성점),경기도 안성시 중앙로 246 본관 4층 E구역(석정동),경기도,"매월2,4주수요일",10:00,23:00,Y,N,AC완속,2,0,N,경기도 안성시 중앙로 246 본관 4층 E구역(석정동),경기도 안성시 석정동 149-3,포스코ICT,1600-4047,37.0126934,127.2559145,2018-01-31
한전 안성지사,경기도 안성시 내혜홀1길 14 지사주차장(석정동 270-22),경기도,연중무휴,6:00,23:00,Y,N,DC차데모+AC3상+DC콤보,0,1,N,경기도 안성시 내혜홀1길 14 지사주차장(석정동 270-22),경기도 안성시 석정동 270-22,한국전력,031-670-2245,37.0077895,127.2644592,2018-01-31
안성시보건소,안성시 강변로 74번길 18(도기동),경기도,연중무휴,0:00,23:59,Y,N,AC완속,2,0,N,경기도 안성시 강변로 74번길 18(도기동),경기도 안성시 도기동 67-21,한국전기차충전서비스,1522-1782,37.0001476,127.2698156,2018-01-31
김포시청,김포시청 주차장내,경기도,연중무휴,9:00,18:00,Y,N,,2,,Y,경기도 김포시 사우중로 1,경기도 김포시 사우동 263-1,경기도 김포시청,031-980-2723,37.6153948,126.7156801,2018-02-23
군산시 예술의전당,외부 주차장,전라북도,연중무휴,9:00,18:00,N,Y,,0,1,N,전라북도 군산시 백토로 203,전라북도 군산시 지곡동 288,전라북도 군산시청,063-454-5529,35.961261,126.706181,2018-01-01
군산시 철새조망대,외부 주차장,전라북도,연중무휴,9:00,18:00,N,Y,,0,1,N,전라북도 군산시 성산면 철새로 120,,전라북도 군산시청,063-454-5684,36.019634,126.765053,2018-01-01
군산시 농업기술센터,외부 주차장,전라북도,연중무휴,9:00,18:00,Y,N,,1,0,N,전라북도 군산시 개정면 운회길 32 군산시 농업기술센터,전라북도 군산시 개정면 운회리 633-7 군산시 농업기술센터,전라북도 군산시청,063-454-5313,35.961726,126.781393,2018-01-01
군산시 보건소,지하 주차장,전라북도,연중무휴,9:00,18:00,Y,N,,1,0,N,전라북도 군산시 수송동로 58 군산시 보건소,전라북도 군산시 수송동 851-1 군산시 보건소,전라북도 군산시청,063-460-3231,35.9646648,126.7202154,2018-01-01
군산시청 2,지하 주차장,전라북도,연중무휴,9:00,18:00,Y,N,,1,0,N,전라북도 군산시 시청로 18 군산시청,전라북도 군산시 조촌동 888 군산시청,전라북도 군산시청,063-454-3472,35.9676134,126.7368416,2018-01-01
군산시청 1,지하 주차장,전라북도,연중무휴,9:00,18:00,Y,N,,1,0,N,전라북도 군산시 시청로 17 군산시청,전라북도 군산시 조촌동 888 군산시청,전라북도 군산시청,063-454-3392,35.9676134,126.7368416,2018-01-01
정선종합운동장,정선군 정선읍 애산로 60,강원도,없음,0:00,24:00:00,Y,Y,,1,1,N,강원도 정선군 정선읍 애산로 60,강원도 정선군 정선읍 애산리 768,한국환경공단,032-590-3648,37.3763216,128.6750236,2017-12-27
과천시청,"경기도 과천시 관문로 69, 과천시청",경기도,연중무휴,0:00,0:00,Y,Y,DC차데모+AC3상,,1,Y,"경기도 과천시 관문로 69, 과천시청",경기도 과천시 중앙동 1-3,한국자동차환경협회,1661-9408,37.428564,126.988231,2017-11-30
가파도 마을회관,주차장,제주특별자치도,연중무휴,0:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 대정읍 가파로 73,,,,33.1664333,126.2736156,2017-04-29
용산주차빌딩주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,N,,1,0,Y,서울특별시 용산구 한강로2가 12-9,서울특별시 용산구 새창로49길 42 (한강로2가),서울특별시시설관리공단,02-2290-6449,37.534362,126.965377,2018-01-12
잠실역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,N,,6,0,Y,서울특별시 송파구 신천동 29,서울특별시 송파구 올림픽로 300 (신천동),서울특별시시설관리공단,02-2290-6449,37.513103,127.103474,2018-01-12
종묘주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,2,1,Y,서울특별시 종로구 종로 157 (훈정동),서울특별시 종로구 훈정동 1-2,서울특별시시설관리공단,02-2290-6449,37.574496,126.994045,2018-01-12
창동역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,4,1,Y,서울특별시 도봉구 마들로11길 20 (창동),서울특별시 도봉구 창동 1-10,서울특별시시설관리공단,02-2290-6449,37.654781,127.050827,2018-01-12
천왕역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,2,1,Y,서울특별시 구로구 오리로 지하1154  (오류동),서울특별시 구로구 오류동 174-5,서울특별시시설관리공단,02-2290-6449,37.4866,126.83889,2018-01-12
천호역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,N,,2,0,Y,서울특별시 강동구 천호대로 997,서울특별시 강동구 천호동 455,서울특별시시설관리공단,02-2290-6449,37.57815,126.800082,2018-01-12
학여울역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,Y,,2,1,Y,서울특별시 강남구 남부순환로 지하3104 (대치동),서울특별시 강남구 대치동 512,서울특별시시설관리공단,02-2290-6449,37.495109,127.069857,2018-01-12
한강진역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,N,Y,,0,1,Y,서울특별시 용산구 이태원로 274  (한남동),서울특별시 용산구 한남동 728-10,서울특별시시설관리공단,02-2290-6449,37.539028,127.002074,2018-01-12
화랑대역주차장,주차장 내부,서울특별시,연중무휴,0:00,24:00:00,Y,N,,1,0,Y,,서울특별시 중랑구 묵동 28,서울특별시시설관리공단,02-2290-6449,37.619685,127.086636,2018-01-12
동해시청,동해시청 본관 뒤 주차장,강원도,연중무휴,0:00,23:59,Y,N,,3,0,N,강원도 동해시 천곡로77,강원도 동해시 천곡동 806,강원도 동해시청,033-530-2784,37.5244411,129.1136831,2018-01-01
문화예술회관,동해시 문화예술회관 야외공연장 옆,강원도,연중무휴,0:00,23:59,Y,Y,DC 콤보,0,1,N,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1,강원도 동해시청,033-530-2446,37.5264661,129.1152192,2018-01-01
울주군보건소,주차장,울산광역시,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,울산광역시 울주군 삼남면 서향교1길 67-12,울산광역시 울주군 삼남면 교동리 1605-1,한국전력,1899-2100,35.558593,129.11376,2018-02-13
서생면사무소,출입구 우측 주차장,울산광역시,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,울산광역시 울주군 서생면 해맞이로 894,울산광역시 울주군 서생면 신암리 245-2,환경부(한국자동차환경협회),1661-9408,35.350302,129.326393,2018-02-13
우진휴게소(온양),주차장,울산광역시,연중무휴,0:00,24:00:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,울산광역시 울주군 온양읍 남창로 905,울산광역시 울주군 온양읍 망양리 445-3,환경부(한국자동차환경협회),1661-9408,35.456289,129.288981,2018-02-13
