구별,동,1인가구
서초구,양재2동,3428
서초구,잠원동,3127
성동구,금호1가동,1091
성동구,금호23가동,1921
성동구,금호4가동,1337
성동구,마장동,2997
성동구,사근동,4322
성동구,성수1가1동,1833
성동구,성수1가2동,2522
성동구,성수2가1동,2645
성동구,성수2가3동,1701
성동구,송정동,1977
성동구,옥수동,1862
성동구,왕십리2동,1776
성동구,왕십리도선동,2292
성동구,용답동,2699
성동구,응봉동,864
성동구,행당1동,2015
성동구,행당2동,1405
성북구,길음1동,1636
성북구,길음2동,1666
성북구,돈암1동,1273
성북구,돈암2동,965
성북구,동선동,4376
성북구,보문동,2403
성북구,삼선동,4382
성북구,석관동,4294
성북구,성북동,2569
성북구,안암동,5492
성북구,월곡1동,1911
성북구,월곡2동,2736
성북구,장위1동,2012
성북구,장위2동,1989
성북구,장위3동,1338
성북구,정릉1동,1527
성북구,정릉2동,1948
성북구,정릉3동,2874
성북구,정릉4동,2195
성북구,종암동,4419
송파구,가락1동,20
송파구,가락2동,1805
송파구,가락본동,2603
송파구,거여1동,1140
송파구,거여2동,2198
송파구,마천1동,2038
송파구,마천2동,1726
송파구,문정1동,1535
송파구,문정2동,2129
송파구,방이1동,1065
송파구,방이2동,4047
송파구,삼전동,4861
송파구,석촌동,5077
송파구,송파1동,3697
송파구,송파2동,859
송파구,오금동,2220
송파구,오륜동,288
송파구,위례동,426
송파구,잠실2동,1136
송파구,잠실3동,1010
송파구,잠실4동,1064
송파구,잠실6동,546
송파구,잠실7동,291
송파구,잠실본동,5036
송파구,장지동,2257
송파구,풍납1동,2047
송파구,풍납2동,2360
양천구,목1동,1121
양천구,목2동,2638
양천구,목3동,2095
양천구,목4동,1793
양천구,목5동,1065
양천구,신월1동,2864
양천구,신월2동,1425
양천구,신월3동,2668
양천구,신월4동,918
양천구,신월5동,1137
양천구,신월6동,878
양천구,신월7동,1502
양천구,신정1동,744
양천구,신정2동,962
양천구,신정3동,3883
양천구,신정4동,4502
양천구,신정6동,628
양천구,신정7동,2009
영등포구,당산1동,3064
영등포구,당산2동,5472
영등포구,대림1동,1984
영등포구,대림2동,2130
영등포구,대림3동,2798
영등포구,도림동,3188
영등포구,문래동,2132
영등포구,신길1동,4069
영등포구,신길3동,1823
영등포구,신길4동,1389
영등포구,신길5동,1837
영등포구,신길6동,2555
영등포구,신길7동,1335
영등포구,양평1동,2366
영등포구,양평2동,2189
영등포구,여의동,1724
영등포구,영등포동,5550
영등포구,영등포본동,2828
용산구,남영동,2403
용산구,보광동,2882
용산구,서빙고동,1036
용산구,용문동,1098
용산구,용산2가동,1711
용산구,원효로1동,1939
용산구,원효로2동,1290
용산구,이촌1동,1227
용산구,이촌2동,684
용산구,이태원1동,1328
용산구,이태원2동,1599
용산구,청파동,4393
용산구,한강로동,2377
용산구,한남동,3843
용산구,효창동,804
용산구,후암동,2411
은평구,갈현1동,2438
은평구,갈현2동,2322
은평구,구산동,1845
은평구,녹번동,3580
은평구,대조동,4677
은평구,불광1동,3669
은평구,불광2동,3318
은평구,수색동,1600
은평구,신사1동,2089
은평구,신사2동,1689
은평구,역촌동,3930
은평구,응암1동,3527
은평구,응암2동,2038
은평구,응암3동,3538
은평구,증산동,1479
은평구,진관동,2197
종로구,가회동,590
종로구,교남동,653
종로구,무악동,508
종로구,부암동,995
종로구,사직동,1125
종로구,삼청동,363
종로구,숭인1동,931
종로구,숭인2동,2206
종로구,이화동,1880
종로구,종로1234가동,2299
종로구,종로56가동,1100
종로구,창신1동,1029
종로구,창신2동,1211
종로구,창신3동,508
종로구,청운효자동,1232
종로구,평창동,1252
종로구,혜화동,4894
중구,광희동,1133
중구,다산동,2000
중구,동화동,688
중구,명동,657
중구,소공동,263
중구,신당5동,1492
중구,신당동,1613
중구,약수동,1887
중구,을지로동,589
중구,장충동,1403
중구,중림동,1322
중구,청구동,1613
중구,필동,1199
중구,황학동,2128
중구,회현동,1174
중랑구,망우3동,2216
중랑구,망우본동,3820
중랑구,면목2동,3369
중랑구,면목38동,3756
중랑구,면목4동,2292
중랑구,면목5동,1397
중랑구,면목7동,2839
중랑구,면목본동,5225
중랑구,묵1동,2549
중랑구,묵2동,2390
중랑구,상봉1동,1748
중랑구,상봉2동,3707
중랑구,신내1동,1610
중랑구,신내2동,1771
중랑구,중화1동,1675
중랑구,중화2동,4774
