resident,gender,job,age,position,price,survey,age2,resident2,gender2,age3
1,2,2,28,NA,3.3,5,청년층,특별시,여자,1
2,2,2,24,5,6.3,4,청년층,광역시,여자,1
2,2,1,62,1,6.2,4,장년층,광역시,여자,3
1,1,3,28,4,6.2,3,청년층,특별시,남자,1
1,2,2,63,1,6.3,2,장년층,특별시,여자,3
5,2,NA,26,4,3.4,3,청년층,시구군,여자,1
1,1,3,40,3,6.3,1,중년층,특별시,남자,2
3,2,2,52,1,3.5,2,장년층,광역시,여자,3
1,2,2,43,2,3,4,중년층,특별시,여자,2
3,2,3,44,2,6.8,4,중년층,광역시,여자,2
1,1,1,41,2,5.2,4,중년층,특별시,남자,2
1,1,2,54,1,5.5,3,장년층,특별시,남자,3
1,2,3,44,2,6.1,2,중년층,특별시,여자,2
1,2,2,31,4,6.1,3,중년층,특별시,여자,2
5,1,2,49,2,5.4,3,장년층,시구군,남자,3
1,1,1,64,1,6,4,장년층,특별시,남자,3
2,1,3,65,1,6.7,4,장년층,광역시,남자,3
1,2,2,46,2,5.2,4,장년층,특별시,여자,3
5,1,2,42,2,5.6,4,중년층,시구군,남자,2
2,2,1,38,3,5.1,2,중년층,광역시,여자,2
5,2,3,65,NA,5.5,4,장년층,시구군,여자,3
1,2,1,40,3,6.1,5,중년층,특별시,여자,2
1,1,2,40,3,5,3,중년층,특별시,남자,2
1,1,3,55,1,4,3,장년층,특별시,남자,3
4,2,2,41,2,5.7,3,중년층,광역시,여자,2
5,2,2,43,2,5.7,3,중년층,시구군,여자,2
1,1,NA,47,2,7.1,4,장년층,특별시,남자,3
5,2,3,45,2,5,4,중년층,시구군,여자,2
1,2,1,44,2,6.5,4,중년층,특별시,여자,2
3,2,2,27,4,4.9,3,청년층,광역시,여자,1
1,1,3,37,3,6.2,3,중년층,특별시,남자,2
1,2,3,35,4,4.6,3,중년층,특별시,여자,2
3,1,3,69,1,7.2,1,장년층,광역시,남자,3
4,2,2,20,5,6.5,3,청년층,광역시,여자,1
3,2,3,20,5,6.8,4,청년층,광역시,여자,1
1,2,1,24,5,5.5,4,청년층,특별시,여자,1
1,2,2,46,2,5.8,4,장년층,특별시,여자,3
5,1,3,25,5,4,5,청년층,시구군,남자,1
1,2,1,21,5,6.7,4,청년층,특별시,여자,1
5,2,2,33,4,4.3,4,중년층,시구군,여자,2
5,2,3,56,1,5,3,장년층,시구군,여자,3
2,1,3,45,2,4,3,중년층,광역시,남자,2
1,2,3,60,1,6.7,3,장년층,특별시,여자,3
2,2,1,38,3,5.4,3,중년층,광역시,여자,2
2,1,2,41,2,6.2,3,중년층,광역시,남자,2
1,2,3,27,4,5.9,3,청년층,특별시,여자,1
2,1,2,37,3,4.9,3,중년층,광역시,남자,2
2,2,3,20,5,4.3,3,청년층,광역시,여자,1
1,1,1,49,2,5.7,3,장년층,특별시,남자,3
3,1,2,49,2,4,3,장년층,광역시,남자,3
1,1,3,21,5,5.1,5,청년층,특별시,남자,1
2,1,1,69,1,3.8,2,장년층,광역시,남자,3
1,1,2,63,1,4.1,4,장년층,특별시,남자,3
2,2,3,34,4,5.1,4,중년층,광역시,여자,2
1,1,1,26,4,5,3,청년층,특별시,남자,1
2,1,2,38,3,5.2,3,중년층,광역시,남자,2
1,2,1,57,1,4.7,2,장년층,특별시,여자,3
1,1,1,60,1,5.1,3,장년층,특별시,남자,3
2,1,2,49,2,4.4,3,장년층,광역시,남자,3
1,1,1,65,1,5.2,2,장년층,특별시,남자,3
2,2,1,49,2,5,3,장년층,광역시,여자,3
5,1,3,23,5,4,3,청년층,시구군,남자,1
1,1,1,63,1,3.9,2,장년층,특별시,남자,3
2,1,2,45,2,4,3,중년층,광역시,남자,2
4,2,1,29,4,4.1,3,청년층,광역시,여자,1
2,1,3,28,4,5,3,청년층,광역시,남자,1
5,1,NA,65,1,5,4,장년층,시구군,남자,3
3,1,1,60,1,4,4,장년층,광역시,남자,3
5,1,2,32,4,4,4,중년층,시구군,남자,2
1,1,3,38,3,6,3,중년층,특별시,남자,2
1,1,3,65,1,3,3,장년층,특별시,남자,3
4,1,2,24,5,5,3,청년층,광역시,남자,1
1,1,2,61,1,7,4,장년층,특별시,남자,3
2,1,2,41,2,6.4,5,중년층,광역시,남자,2
1,1,1,63,1,6.2,4,장년층,특별시,남자,3
1,1,3,30,4,5.5,4,청년층,특별시,남자,1
1,1,2,37,3,4.3,1,중년층,특별시,남자,2
1,1,1,29,4,4.8,4,청년층,특별시,남자,1
2,1,2,25,5,6,3,청년층,광역시,남자,1
1,1,2,36,3,4.1,3,중년층,특별시,남자,2
1,1,1,47,2,5,2,장년층,특별시,남자,3
3,1,3,64,1,4,3,장년층,광역시,남자,3
1,2,2,28,NA,3.3,3,청년층,특별시,여자,1
2,1,1,62,1,5.3,3,장년층,광역시,남자,3
1,1,3,28,4,6.2,3,청년층,특별시,남자,1
1,1,2,63,1,4.6,2,장년층,특별시,남자,3
5,2,NA,26,4,3.4,4,청년층,시구군,여자,1
1,1,3,40,3,6.3,4,중년층,특별시,남자,2
3,1,2,52,1,6.3,4,장년층,광역시,남자,3
1,2,2,43,2,3,4,중년층,특별시,여자,2
3,1,3,44,2,6.8,4,중년층,광역시,남자,2
1,2,2,30,NA,5,4,청년층,특별시,여자,1
1,1,1,41,2,5.2,4,중년층,특별시,남자,2
1,1,2,54,1,5.5,4,장년층,특별시,남자,3
1,2,3,44,2,3,4,중년층,특별시,여자,2
1,1,2,31,4,6.3,2,중년층,특별시,남자,2
5,1,2,49,2,5.4,3,장년층,시구군,남자,3
1,1,1,64,1,6,2,장년층,특별시,남자,3
2,1,3,65,1,6.7,3,장년층,광역시,남자,3
1,1,2,46,2,5.2,3,장년층,특별시,남자,3
5,1,2,42,2,5.6,3,중년층,시구군,남자,2
2,2,1,38,3,4.6,3,중년층,광역시,여자,2
5,1,3,65,NA,5.5,3,장년층,시구군,남자,3
1,1,1,40,3,6.1,3,중년층,특별시,남자,2
2,2,1,42,2,5.3,3,중년층,광역시,여자,2
1,1,2,40,3,5,4,중년층,특별시,남자,2
1,1,3,55,1,6,4,장년층,특별시,남자,3
4,1,2,41,2,5.7,4,중년층,광역시,남자,2
1,1,3,45,2,4.6,4,중년층,특별시,남자,2
5,2,2,43,2,5.7,4,중년층,시구군,여자,2
2,1,3,63,1,6.3,5,장년층,광역시,남자,3
1,1,NA,47,2,7.1,4,장년층,특별시,남자,3
5,1,3,45,2,5.2,4,중년층,시구군,남자,2
1,1,1,44,2,6.5,4,중년층,특별시,남자,2
3,1,2,27,4,4.9,3,청년층,광역시,남자,1
1,1,3,37,3,6.2,3,중년층,특별시,남자,2
1,2,3,35,4,4,3,중년층,특별시,여자,2
3,1,3,69,1,7.2,3,장년층,광역시,남자,3
4,2,2,20,5,6.5,3,청년층,광역시,여자,1
3,2,3,20,5,6.8,3,청년층,광역시,여자,1
1,2,1,24,5,5,3,청년층,특별시,여자,1
1,2,2,46,2,5.8,3,장년층,특별시,여자,3
5,1,3,25,5,6,2,청년층,시구군,남자,1
1,2,1,21,5,6.7,3,청년층,특별시,여자,1
1,2,2,48,2,6.9,4,장년층,특별시,여자,3
1,2,3,22,5,4,2,청년층,특별시,여자,1
5,2,1,48,2,7.7,4,장년층,시구군,여자,3
1,2,3,21,5,5.3,4,청년층,특별시,여자,1
5,1,2,64,1,4.8,4,장년층,시구군,남자,3
1,2,NA,27,4,6.2,4,청년층,특별시,여자,1
1,2,1,64,NA,6,5,장년층,특별시,여자,3
5,1,3,54,1,6.4,4,장년층,시구군,남자,3
5,2,3,42,2,5.1,4,중년층,시구군,여자,2
5,2,3,54,1,7.9,4,장년층,시구군,여자,3
1,1,NA,25,NA,6.4,4,청년층,특별시,남자,1
2,2,3,54,1,6.3,3,장년층,광역시,여자,3
2,2,2,63,1,6.3,2,장년층,광역시,여자,3
4,2,3,21,5,6,3,청년층,광역시,여자,1
2,2,3,23,5,6.9,3,청년층,광역시,여자,1
5,2,2,33,4,4.3,3,중년층,시구군,여자,2
1,2,3,60,1,6.7,4,장년층,특별시,여자,3
2,2,1,38,3,5.4,4,중년층,광역시,여자,2
3,2,3,63,1,7,4,장년층,광역시,여자,3
4,2,2,20,5,6,3,청년층,광역시,여자,1
1,1,3,60,1,6.2,3,장년층,특별시,남자,3
3,2,3,20,5,6.1,3,청년층,광역시,여자,1
1,2,1,24,5,5,3,청년층,특별시,여자,1
1,2,2,46,2,5.8,3,장년층,특별시,여자,3
5,1,3,25,5,4,3,청년층,시구군,남자,1
3,2,3,50,2,3,2,장년층,광역시,여자,3
1,2,1,21,5,5,3,청년층,특별시,여자,1
5,1,2,64,1,6,2,장년층,시구군,남자,3
1,2,NA,27,4,6.2,4,청년층,특별시,여자,1
5,1,3,54,1,6.4,4,장년층,시구군,남자,3
5,2,3,54,1,7.9,3,장년층,시구군,여자,3
1,1,NA,25,NA,6.4,2,청년층,특별시,남자,1
2,2,3,54,1,6.3,3,장년층,광역시,여자,3
2,2,2,63,1,6.3,3,장년층,광역시,여자,3
4,2,3,21,5,6,2,청년층,광역시,여자,1
2,2,3,23,5,6.9,4,청년층,광역시,여자,1
2,1,2,41,2,6.2,5,중년층,광역시,남자,2
1,2,3,27,4,5.9,4,청년층,특별시,여자,1
1,2,2,48,2,6.9,2,장년층,특별시,여자,3
5,2,1,48,2,7.7,3,장년층,시구군,여자,3
1,2,3,21,5,6.3,3,청년층,특별시,여자,1
1,2,2,43,2,4.5,4,중년층,특별시,여자,2
2,1,1,20,5,3.5,1,청년층,광역시,남자,1
3,1,3,24,5,6.1,4,청년층,광역시,남자,1
4,1,3,59,1,5.5,4,장년층,광역시,남자,3
1,1,3,27,4,4.4,4,청년층,특별시,남자,1
